"","x"
"103","RT @IvanValente: Bolsonaro se deteriorou na imprensa e entre seus seguidores.Depois de agredir e insultar uma jornalista dizendo q usava o…"
"104","RT @robertvarga2001: Bolsonaro é o otário que achou que podia comer na mesa deles. Puxou o saco de poderosos, tentou se travestir de libera…"
"105","RT @TonyStarkMeta: Se só o Palocci tinha. 1,3 bilhões, de DÓLARES. 
Imagina o chefe. O Molusco. 

Vamos calcular que tivesse ele tivesse o…"
"106","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"107","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"108","folha não adianta mentir!!!!!!!!!!! bolsonaro vem ai ,para 2019 teremos um novo jeito melhorar o nosso pais / https://t.co/UaSGjj6HLT"
"109","RT @RobenUDI: @BlogdoNoblat @nzmendes1 NÃO ADIANTA NOBLAT,QUEM VOTA NO BOLSONARO NÃO É BURRO QUE NEM PETISTA QUE VCS MANIPULAVAM,NÓS TEMOS…"
"110","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"111","@bibliotecarioSP @RodrigoCorin1 @gleisi Qualquer um deles. Tem ninguém santo lá não.
Não se iluda.
Nem bolsonaro, n… https://t.co/5ylxDYNjSO"
"112","Vera Magalhães, Rachel Sherazade e Marco Antônio Villa batem no PT e afins a mais de 24 meses seguidos e além de jo… https://t.co/JwcklA3ufB"
"113","Folha @folha e @RachelSherazade: “Bolsonaro confessa que rouba frutas de pobre”. @jairbolsonaro . Né,… https://t.co/f670YKHN2P"
"114","Gostei de um vídeo @YouTube https://t.co/6AJMjzXCGg DETONA HIPOCRISIA DE Valéria Monteiro APÓS ATAQUES CONTRA BOLSONARO"
"115","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"116","RT @marcosrp01: #CiteUmaDúvida Se o Bolsonaro ganhar e fizer tudo o que o povo espera que ele faça, viraremos a maior potência mundial em a…"
"117","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"118","RT @henriolliveira: Respeito quem não vota em Bolsonaro, LÓGICO.

Tenho amigos como @pdevechi e @ajulysantos que cito como exemplos.

Não s…"
"119","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"120","Aí tu rebate a opinião de um fanboy de Bolsonaro, e já te chamam de petista, que o Lula isso, que o PT aquilo, a es… https://t.co/rTpM8CEnSt"
"121","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"122","RT @patysrovari: Eleitor do Bolsonaro tem, na maioria, o mesmo perfil: ignorância, ausência de inteligência, analfabetismo político, homofo…"
"123","RT @fcb893467e21423: @caetanoveloso Kkkkkk mensagens positivas, Bolsonaro 2018"
"124","RT @_el_conde: Tava pensando aqui num roteiro de filme onde todo mundo pensa q um deputado nazista usa verba publica para “comer mulher” qu…"
"125","dói meu coração ver o tanto de outdoor que tem nas estradas estampado a cara do bolsonaro com uma frase falando de deus"
"126","@BlogdoNoblat @UOLNoticias @UOL Você já postou contra o Lula; Já postou contra o Bolsonaro; Já postou contra o Maia… https://t.co/RH8SxuK4R0"
"127","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"128","RT @danisouzafb: @Gilcoleman @jairbolsonaro E é isso que esses canalhas vermelhos querem fazer com o Brasil!
Nunca serão!
Bolsonaro preside…"
"129","RT @henriolliveira: Respeito quem não vota em Bolsonaro, LÓGICO.

Tenho amigos como @pdevechi e @ajulysantos que cito como exemplos.

Não s…"
"130","RT @jose_simao: Bolsonaro contrata exorcista para se livrar de funcionária fantasma! @revistapiaui https://t.co/Njarmf7DWi"
"131","RT @AdenilsonARibe: @maconhice @Estadao @veramagalhaes Só vejo corruptos, ladrões, drogados e mamadores das tetas do governo falando mal do…"
"132","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"133","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"134","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"135","FRASE DO DIA: ""No 1º  percalço, Bolsonaro expôs ao país o material do qual é feito. Bastou ser confrontado de leve… https://t.co/5GzHc4s72E"
"136","RT @BernardoMF: Deputado há 27 anos, Bolsonaro vende a ideia de que é diferente dos outros políticos. Isso explica seu descontrole quando a…"
"137","Eu me divirto muito com o pessoal que perde as estribeiras pra defender o Bolsonaro."
"138","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"139","RT @perereco: Da próxima vez, a Folha tem que mandar uma criança de 9 anos pra entrevistar o Bolsonaro

- eu não uso auxílio moradia
- nhen…"
"140","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"141","@Acppprovesi @CarlosBolsonaro @Avallonexxx @jairbolsonaro Pode ter certeza.
Se Bolsonaro andar pra trás sobre armam… https://t.co/QashqE8DXI"
"142","RT @tuliomesmo: Bolsonaro (Direita)
Alckmin     (Esquerda)
Marina       (Esquerda)
Ciro            (Esquerda) 
Lula            (Extrema-Esq…"
"143","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
